video_id,id,author_id,created_at,likert_scale_Q1,in_reply_to_user_id
166,41419,20475,2025-04-14,3,
166,69716,20475,2025-04-14,3,
166,3626,20475,2025-04-14,1,
166,17550,20475,2025-04-14,3,
166,69097,20475,2025-04-14,3,
166,56456,20475,2025-04-14,3,
166,47856,12861,2025-04-14,3,
166,24984,12861,2025-04-14,3,
166,19714,12861,2025-04-14,3,
166,42654,16583,2025-04-14,3,
166,43796,16583,2025-04-14,3,16583
166,1268,3386,2025-04-14,3,
166,51107,3386,2025-04-14,3,
166,41279,3386,2025-04-14,1,
166,36418,12543,2025-04-14,3,
166,53213,3386,2025-04-14,3,
166,53863,3386,2025-04-14,3,
166,62540,3386,2025-04-14,3,
166,2421,28022,2025-04-14,3,
166,31675,3225,2025-04-14,1,
166,19173,19910,2025-04-14,3,3225
166,11558,17121,2025-04-14,3,
166,26571,3386,2025-04-14,3,
166,56869,3386,2025-04-14,3,
166,29364,3386,2025-04-14,3,
166,13909,24533,2025-04-14,3,
166,40946,24533,2025-04-14,3,
166,35338,3225,2025-04-14,3,24533
166,66735,24627,2025-04-14,3,
166,40972,24533,2025-04-14,3,24627
166,23148,3386,2025-04-14,3,24627
166,33072,24627,2025-04-14,3,
166,69880,20228,2025-04-14,1,
166,25887,20095,2025-04-14,3,
166,11538,2128,2025-04-14,3,
166,61481,2128,2025-04-14,3,
166,893,5673,2025-04-14,3,
166,51842,2128,2025-04-14,3,
166,69950,18599,2025-04-14,5,
166,58382,5374,2025-04-14,3,
166,56419,5374,2025-04-14,3,
166,33702,5374,2025-04-14,3,
166,68707,13181,2025-04-14,3,
166,56755,5998,2025-04-14,3,
166,25019,5998,2025-04-14,3,
166,13317,15241,2025-04-14,3,
166,44942,10847,2025-04-14,1,
166,21296,5823,2025-04-14,1,
166,12650,22283,2025-04-14,3,
166,52445,12856,2025-04-14,1,
166,26695,22283,2025-04-14,3,
166,31787,22283,2025-04-14,1,
166,14827,10709,2025-04-14,5,
166,21424,12326,2025-04-14,3,
166,66724,22283,2025-04-14,3,
